CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment_Name
1,Male,19,15,39,1,Moderate Spenders
2,Male,21,15,81,1,Moderate Spenders
3,Female,20,16,6,0,Budget Shoppers
4,Female,23,16,77,1,Moderate Spenders
5,Female,31,17,40,1,Moderate Spenders
6,Female,22,17,76,1,Moderate Spenders
7,Female,35,18,6,0,Budget Shoppers
8,Female,23,18,94,1,Moderate Spenders
9,Male,64,19,3,0,Budget Shoppers
10,Female,30,19,72,1,Moderate Spenders
11,Male,67,19,14,0,Budget Shoppers
12,Female,35,19,99,1,Moderate Spenders
13,Female,58,20,15,0,Budget Shoppers
14,Female,24,20,77,1,Moderate Spenders
15,Male,37,20,13,0,Budget Shoppers
16,Male,22,20,79,1,Moderate Spenders
17,Female,35,21,35,0,Budget Shoppers
18,Male,20,21,66,1,Moderate Spenders
19,Male,52,23,29,0,Budget Shoppers
20,Female,35,23,98,1,Moderate Spenders
21,Male,35,24,35,0,Budget Shoppers
22,Male,25,24,73,1,Moderate Spenders
23,Female,46,25,5,0,Budget Shoppers
24,Male,31,25,73,1,Moderate Spenders
25,Female,54,28,14,0,Budget Shoppers
26,Male,29,28,82,1,Moderate Spenders
27,Female,45,28,32,0,Budget Shoppers
28,Male,35,28,61,1,Moderate Spenders
29,Female,40,29,31,0,Budget Shoppers
30,Female,23,29,87,1,Moderate Spenders
31,Male,60,30,4,0,Budget Shoppers
32,Female,21,30,73,1,Moderate Spenders
33,Male,53,33,4,0,Budget Shoppers
34,Male,18,33,92,1,Moderate Spenders
35,Female,49,33,14,0,Budget Shoppers
36,Female,21,33,81,1,Moderate Spenders
37,Female,42,34,17,0,Budget Shoppers
38,Female,30,34,73,1,Moderate Spenders
39,Female,36,37,26,0,Budget Shoppers
40,Female,20,37,75,1,Moderate Spenders
41,Female,65,38,35,4,Careful Customers
42,Male,24,38,92,1,Moderate Spenders
43,Male,48,39,36,0,Budget Shoppers
44,Female,31,39,61,1,Moderate Spenders
45,Female,49,39,28,0,Budget Shoppers
46,Female,24,39,65,1,Moderate Spenders
47,Female,50,40,55,4,Careful Customers
48,Female,27,40,47,1,Moderate Spenders
49,Female,29,40,42,1,Moderate Spenders
50,Female,31,40,42,1,Moderate Spenders
51,Female,49,42,52,4,Careful Customers
52,Male,33,42,60,1,Moderate Spenders
53,Female,31,43,54,1,Moderate Spenders
54,Male,59,43,60,4,Careful Customers
55,Female,50,43,45,4,Careful Customers
56,Male,47,43,41,4,Careful Customers
57,Female,51,44,50,4,Careful Customers
58,Male,69,44,46,4,Careful Customers
59,Female,27,46,51,1,Moderate Spenders
60,Male,53,46,46,4,Careful Customers
61,Male,70,46,56,4,Careful Customers
62,Male,19,46,55,1,Moderate Spenders
63,Female,67,47,52,4,Careful Customers
64,Female,54,47,59,4,Careful Customers
65,Male,63,48,51,4,Careful Customers
66,Male,18,48,59,1,Moderate Spenders
67,Female,43,48,50,4,Careful Customers
68,Female,68,48,48,4,Careful Customers
69,Male,19,48,59,1,Moderate Spenders
70,Female,32,48,47,1,Moderate Spenders
71,Male,70,49,55,4,Careful Customers
72,Female,47,49,42,4,Careful Customers
73,Female,60,50,49,4,Careful Customers
